#;GROUP;INSTANCE;clingoPAR1;waspPAR1;wasp-amoPAR1
124;1;0042-graph_colouring-145-0_1392.asp;939.701;1200;1200
125;2;0042-graph_colouring-145-0_4176.asp;932.506;1200;1200
126;0;0042-graph_colouring-145-0_6960.asp;1164.629;1200;29.627
127;1;0043-graph_colouring-145-0_1392.asp;651.326;1200;1200
128;2;0043-graph_colouring-145-0_4176.asp;634.211;1200;1200
129;0;0043-graph_colouring-145-0_6960.asp;802.736;1200;40.751
130;1;0044-graph_colouring-145-0_1392.asp;114.09;731.424;1200
131;2;0044-graph_colouring-145-0_4176.asp;125.209;838.541;1200
132;0;0044-graph_colouring-145-0_6960.asp;141.334;1200;29.625
133;1;0045-graph_colouring-145-0_1392.asp;1200;1200;1200
134;2;0045-graph_colouring-145-0_4176.asp;1200;1200;1200
135;0;0045-graph_colouring-145-0_6960.asp;1200;1200;29.626
136;1;0046-graph_colouring-145-0_1392.asp;274.37;1200;1200
137;2;0046-graph_colouring-145-0_4176.asp;252.151;1200;1200
138;0;0046-graph_colouring-145-0_6960.asp;421.672;1200;26.598
139;1;0047-graph_colouring-145-0_1392.asp;1200;1200;1200
140;2;0047-graph_colouring-145-0_4176.asp;1200;1200;1200
141;0;0047-graph_colouring-145-0_6960.asp;1200;1200;24.581
142;1;0048-graph_colouring-145-0_1392.asp;1200;1200;1200
143;2;0048-graph_colouring-145-0_4176.asp;1200;1200;1200
144;0;0048-graph_colouring-145-0_6960.asp;1200;1200;26.596
145;1;0049-graph_colouring-145-0_1392.asp;332.877;1200;1200
146;2;0049-graph_colouring-145-0_4176.asp;293.544;1200;1200
147;0;0049-graph_colouring-145-0_6960.asp;405.574;1200;25.582
148;1;0050-graph_colouring-145-0_1392.asp;1200;1200;1200
149;2;0050-graph_colouring-145-0_4176.asp;1200;1200;1200
150;0;0050-graph_colouring-145-0_6960.asp;1200;1200;36.691
151;1;0051-graph_colouring-150-0_1440.asp;1200;1200;1200
152;2;0051-graph_colouring-150-0_4320.asp;1200;1200;1200
153;0;0051-graph_colouring-150-0_7200.asp;1200;1200;26.594
154;1;0052-graph_colouring-150-0_1440.asp;1200;1200;1200
155;2;0052-graph_colouring-150-0_4320.asp;1200;1200;1200
156;0;0052-graph_colouring-150-0_7200.asp;1200;1200;40.742
157;1;0053-graph_colouring-150-0_1440.asp;1200;1200;1200
158;2;0053-graph_colouring-150-0_4320.asp;1200;1200;1200
159;0;0053-graph_colouring-150-0_7200.asp;1200;1200;146.855
160;1;0054-graph_colouring-150-0_1440.asp;1200;1200;1200
161;2;0054-graph_colouring-150-0_4320.asp;1200;1200;1200
162;0;0054-graph_colouring-150-0_7200.asp;1200;1200;45.787
163;1;0055-graph_colouring-150-0_1440.asp;1200;1200;1200
164;2;0055-graph_colouring-150-0_4320.asp;1200;1200;1200
165;0;0055-graph_colouring-150-0_7200.asp;1200;1200;52.855
166;1;0056-graph_colouring-150-0_1440.asp;1200;1200;1200
167;2;0056-graph_colouring-150-0_4320.asp;1200;1200;1200
168;0;0056-graph_colouring-150-0_7200.asp;1200;1200;56.92
169;1;0057-graph_colouring-150-0_1440.asp;247.197;1200;1200
170;2;0057-graph_colouring-150-0_4320.asp;266.338;1200;1200
171;0;0057-graph_colouring-150-0_7200.asp;325.965;1200;33.668
172;1;0058-graph_colouring-150-0_1440.asp;1200;1200;1200
173;2;0058-graph_colouring-150-0_4320.asp;1200;1200;1200
174;0;0058-graph_colouring-150-0_7200.asp;1200;1200;80.151
175;1;0059-graph_colouring-150-0_1440.asp;1200;1200;1200
176;2;0059-graph_colouring-150-0_4320.asp;1200;1200;1200
177;0;0059-graph_colouring-150-0_7200.asp;1200;1200;36.703
178;1;0060-graph_colouring-150-0_1440.asp;343.917;1200;1200
179;2;0060-graph_colouring-150-0_4320.asp;356.023;1200;1200
1200;0;0060-graph_colouring-150-0_7200.asp;420.61;1200;26.591
